,Created At,positivi,negativi,neutrali
0,2021-03-08 23:59:53,0,1,0
1,2021-03-08 23:59:51,1,0,0
2,2021-03-08 23:59:51,0,0,1
3,2021-03-08 23:59:47,0,0,1
4,2021-03-08 23:59:46,1,0,0
5,2021-03-08 23:59:46,0,1,0
6,2021-03-08 23:59:45,0,0,1
7,2021-03-08 23:59:44,1,0,0
8,2021-03-08 23:59:43,0,0,1
9,2021-03-08 23:59:40,0,0,1
10,2021-03-08 23:59:38,0,0,1
11,2021-03-08 23:59:37,1,0,0
12,2021-03-08 23:59:36,0,0,1
13,2021-03-08 23:59:33,0,0,1
14,2021-03-08 23:59:33,0,1,0
15,2021-03-08 23:59:31,0,0,1
16,2021-03-08 23:59:31,0,1,0
17,2021-03-08 23:59:29,0,0,1
18,2021-03-08 23:59:24,0,0,1
19,2021-03-08 23:59:21,0,0,1
20,2021-03-08 23:59:20,0,0,1
21,2021-03-08 23:59:20,0,0,1
22,2021-03-08 23:59:19,0,0,1
23,2021-03-08 23:59:18,0,0,1
24,2021-03-08 23:59:18,1,0,0
25,2021-03-08 23:59:17,0,1,0
26,2021-03-08 23:59:15,0,1,0
27,2021-03-08 23:59:15,1,0,0
28,2021-03-08 23:59:14,0,0,1
29,2021-03-08 23:59:13,0,0,1
30,2021-03-08 23:59:12,0,0,1
31,2021-03-08 23:59:09,0,1,0
32,2021-03-08 23:59:08,1,0,0
33,2021-03-08 23:59:05,1,0,0
34,2021-03-08 23:59:04,0,0,1
35,2021-03-08 23:59:00,0,0,1
36,2021-03-08 23:59:00,0,0,1
37,2021-03-08 23:59:00,0,1,0
38,2021-03-08 23:59:00,0,1,0
39,2021-03-08 23:58:59,0,0,1
40,2021-03-08 23:58:57,0,1,0
41,2021-03-08 23:58:57,0,0,1
42,2021-03-08 23:58:55,0,1,0
43,2021-03-08 23:58:55,0,0,1
44,2021-03-08 23:58:54,0,0,1
45,2021-03-08 23:58:53,1,0,0
46,2021-03-08 23:58:51,0,1,0
47,2021-03-08 23:58:50,0,0,1
48,2021-03-08 23:58:48,1,0,0
49,2021-03-08 23:58:48,0,0,1
50,2021-03-08 23:58:48,0,0,1
51,2021-03-08 23:58:39,0,0,1
52,2021-03-08 23:58:37,0,0,1
53,2021-03-08 23:58:36,1,0,0
54,2021-03-08 23:58:34,0,1,0
55,2021-03-08 23:58:33,0,1,0
56,2021-03-08 23:58:33,0,0,1
57,2021-03-08 23:58:32,0,1,0
58,2021-03-08 23:58:31,0,0,1
59,2021-03-08 23:58:30,1,0,0
60,2021-03-08 23:58:28,0,0,1
61,2021-03-08 23:58:28,0,1,0
62,2021-03-08 23:58:26,0,0,1
63,2021-03-08 23:58:24,0,0,1
64,2021-03-08 23:58:20,0,1,0
65,2021-03-08 23:58:19,0,0,1
66,2021-03-08 23:58:17,1,0,0
67,2021-03-08 23:58:16,1,0,0
68,2021-03-08 23:58:14,1,0,0
69,2021-03-08 23:58:14,0,0,1
70,2021-03-08 23:58:13,0,1,0
71,2021-03-08 23:58:13,0,1,0
72,2021-03-08 23:58:10,0,1,0
73,2021-03-08 23:58:09,1,0,0
74,2021-03-08 23:58:09,0,0,1
75,2021-03-08 23:58:09,0,1,0
76,2021-03-08 23:58:08,1,0,0
77,2021-03-08 23:58:08,0,0,1
78,2021-03-08 23:58:08,0,1,0
79,2021-03-08 23:58:05,0,1,0
80,2021-03-08 23:58:05,0,0,1
81,2021-03-08 23:58:04,1,0,0
82,2021-03-08 23:58:03,0,1,0
83,2021-03-08 23:58:03,0,1,0
84,2021-03-08 23:58:01,0,0,1
85,2021-03-08 23:57:59,1,0,0
86,2021-03-08 23:57:57,0,1,0
87,2021-03-08 23:57:57,0,1,0
88,2021-03-08 23:57:56,0,0,1
89,2021-03-08 23:57:56,0,0,1
90,2021-03-08 23:57:55,0,0,1
91,2021-03-08 23:57:54,0,1,0
92,2021-03-08 23:57:53,0,1,0
93,2021-03-08 23:57:51,0,0,1
94,2021-03-08 23:57:50,0,0,1
95,2021-03-08 23:57:46,0,0,1
96,2021-03-08 23:57:44,1,0,0
97,2021-03-08 23:57:44,1,0,0
98,2021-03-08 23:57:42,1,0,0
99,2021-03-08 23:57:42,0,0,1
100,2021-03-08 23:57:37,1,0,0
101,2021-03-08 23:57:33,1,0,0
102,2021-03-08 23:57:33,0,0,1
103,2021-03-08 23:57:32,1,0,0
104,2021-03-08 23:57:32,0,0,1
105,2021-03-08 23:57:30,1,0,0
106,2021-03-08 23:57:25,1,0,0
107,2021-03-08 23:57:25,0,0,1
108,2021-03-08 23:57:24,0,1,0
109,2021-03-08 23:57:24,0,1,0
110,2021-03-08 23:57:23,0,1,0
111,2021-03-08 23:57:22,0,0,1
112,2021-03-08 23:57:19,0,0,1
113,2021-03-08 23:57:19,0,0,1
114,2021-03-08 23:57:18,0,0,1
115,2021-03-08 23:57:13,0,0,1
116,2021-03-08 23:57:13,0,0,1
117,2021-03-08 23:57:12,0,1,0
118,2021-03-08 23:57:08,0,1,0
119,2021-03-08 23:57:02,0,1,0
120,2021-03-08 23:56:58,0,0,1
121,2021-03-08 23:56:57,0,1,0
122,2021-03-08 23:56:56,1,0,0
123,2021-03-08 23:56:56,0,1,0
124,2021-03-08 23:56:53,0,0,1
125,2021-03-08 23:56:52,1,0,0
126,2021-03-08 23:56:49,0,0,1
127,2021-03-08 23:56:47,0,1,0
128,2021-03-08 23:56:45,0,0,1
129,2021-03-08 23:56:41,0,0,1
130,2021-03-08 23:56:40,0,0,1
131,2021-03-08 23:56:38,1,0,0
132,2021-03-08 23:56:35,1,0,0
133,2021-03-08 23:56:33,0,0,1
134,2021-03-08 23:56:32,0,0,1
135,2021-03-08 23:56:30,1,0,0
136,2021-03-08 23:56:30,0,0,1
137,2021-03-08 23:56:29,1,0,0
138,2021-03-08 23:56:28,1,0,0
139,2021-03-08 23:56:24,0,1,0
140,2021-03-08 23:56:22,1,0,0
141,2021-03-08 23:56:21,0,0,1
142,2021-03-08 23:56:21,0,1,0
143,2021-03-08 23:56:20,1,0,0
144,2021-03-08 23:56:19,1,0,0
145,2021-03-08 23:56:18,0,0,1
146,2021-03-08 23:56:18,1,0,0
147,2021-03-08 23:56:18,1,0,0
148,2021-03-08 23:56:17,0,0,1
149,2021-03-08 23:56:17,1,0,0
150,2021-03-08 23:56:15,0,0,1
151,2021-03-08 23:56:14,0,1,0
152,2021-03-08 23:56:14,0,1,0
153,2021-03-08 23:56:13,1,0,0
154,2021-03-08 23:56:08,0,0,1
155,2021-03-08 23:56:08,0,0,1
156,2021-03-08 23:56:07,0,1,0
157,2021-03-08 23:56:06,0,0,1
158,2021-03-08 23:56:05,0,0,1
159,2021-03-08 23:56:04,0,0,1
160,2021-03-08 23:56:00,0,0,1
161,2021-03-08 23:55:59,1,0,0
162,2021-03-08 23:55:58,0,0,1
163,2021-03-08 23:55:57,0,0,1
164,2021-03-08 23:55:57,0,1,0
165,2021-03-08 23:55:56,1,0,0
166,2021-03-08 23:55:55,0,1,0
167,2021-03-08 23:55:54,0,1,0
168,2021-03-08 23:55:50,1,0,0
169,2021-03-08 23:55:49,0,0,1
170,2021-03-08 23:55:47,0,1,0
171,2021-03-08 23:55:47,0,0,1
172,2021-03-08 23:55:40,0,0,1
173,2021-03-08 23:55:40,0,0,1
174,2021-03-08 23:55:38,1,0,0
175,2021-03-08 23:55:38,0,0,1
176,2021-03-08 23:55:37,0,0,1
177,2021-03-08 23:55:37,1,0,0
178,2021-03-08 23:55:35,0,0,1
179,2021-03-08 23:55:34,1,0,0
180,2021-03-08 23:55:34,0,1,0
181,2021-03-08 23:55:33,1,0,0
182,2021-03-08 23:55:33,0,1,0
183,2021-03-08 23:55:32,0,0,1
184,2021-03-08 23:55:31,0,1,0
185,2021-03-08 23:55:30,1,0,0
186,2021-03-08 23:55:28,0,0,1
187,2021-03-08 23:55:27,1,0,0
188,2021-03-08 23:55:26,0,0,1
189,2021-03-08 23:55:21,0,0,1
190,2021-03-08 23:55:19,0,0,1
191,2021-03-08 23:55:19,1,0,0
192,2021-03-08 23:55:15,0,0,1
193,2021-03-08 23:55:14,0,0,1
194,2021-03-08 23:55:13,0,0,1
195,2021-03-08 23:55:13,0,1,0
196,2021-03-08 23:55:10,0,0,1
197,2021-03-08 23:55:08,0,1,0
198,2021-03-08 23:55:07,0,0,1
199,2021-03-08 23:55:06,1,0,0
200,2021-03-08 23:55:06,0,0,1
201,2021-03-08 23:55:06,1,0,0
202,2021-03-08 23:55:06,1,0,0
203,2021-03-08 23:55:05,0,0,1
204,2021-03-08 23:55:04,1,0,0
205,2021-03-08 23:55:03,0,0,1
206,2021-03-08 23:55:02,0,0,1
207,2021-03-08 23:55:01,1,0,0
208,2021-03-08 23:54:58,0,0,1
209,2021-03-08 23:54:58,0,0,1
210,2021-03-08 23:54:57,0,0,1
211,2021-03-08 23:54:56,0,0,1
212,2021-03-08 23:54:56,0,0,1
213,2021-03-08 23:54:55,0,0,1
214,2021-03-08 23:54:54,1,0,0
215,2021-03-08 23:54:54,0,0,1
216,2021-03-08 23:54:50,0,1,0
217,2021-03-08 23:54:42,0,0,1
218,2021-03-08 23:54:41,1,0,0
219,2021-03-08 23:54:40,0,1,0
220,2021-03-08 23:54:39,1,0,0
221,2021-03-08 23:54:39,0,0,1
222,2021-03-08 23:54:38,1,0,0
223,2021-03-08 23:54:37,0,0,1
224,2021-03-08 23:54:37,0,0,1
225,2021-03-08 23:54:35,0,0,1
226,2021-03-08 23:54:34,0,0,1
227,2021-03-08 23:54:33,0,0,1
228,2021-03-08 23:54:30,1,0,0
229,2021-03-08 23:54:28,0,1,0
230,2021-03-08 23:54:28,0,1,0
231,2021-03-08 23:54:26,0,0,1
232,2021-03-08 23:54:24,1,0,0
233,2021-03-08 23:54:24,0,0,1
234,2021-03-08 23:54:23,1,0,0
235,2021-03-08 23:54:23,1,0,0
236,2021-03-08 23:54:22,0,0,1
237,2021-03-08 23:54:20,1,0,0
238,2021-03-08 23:54:20,0,0,1
239,2021-03-08 23:54:19,0,0,1
240,2021-03-08 23:54:17,1,0,0
241,2021-03-08 23:54:16,0,1,0
242,2021-03-08 23:54:12,0,1,0
243,2021-03-08 23:54:11,0,0,1
244,2021-03-08 23:54:10,0,1,0
245,2021-03-08 23:54:07,0,0,1
246,2021-03-08 23:54:04,0,1,0
247,2021-03-08 23:54:04,1,0,0
248,2021-03-08 23:54:01,0,0,1
249,2021-03-08 23:53:58,0,1,0
250,2021-03-08 23:53:56,0,0,1
251,2021-03-08 23:53:54,0,0,1
252,2021-03-08 23:53:54,0,0,1
253,2021-03-08 23:53:53,0,0,1
254,2021-03-08 23:53:52,1,0,0
255,2021-03-08 23:53:52,0,0,1
256,2021-03-08 23:53:52,0,1,0
257,2021-03-08 23:53:51,0,0,1
258,2021-03-08 23:53:51,1,0,0
259,2021-03-08 23:53:49,1,0,0
260,2021-03-08 23:53:44,0,0,1
261,2021-03-08 23:53:43,0,0,1
262,2021-03-08 23:53:43,0,1,0
263,2021-03-08 23:53:42,0,0,1
264,2021-03-08 23:53:42,0,1,0
265,2021-03-08 23:53:41,0,0,1
266,2021-03-08 23:53:39,0,0,1
267,2021-03-08 23:53:39,0,0,1
268,2021-03-08 23:53:35,0,0,1
269,2021-03-08 23:53:35,0,0,1
270,2021-03-08 23:53:35,0,0,1
271,2021-03-08 23:53:33,0,0,1
272,2021-03-08 23:53:32,0,0,1
273,2021-03-08 23:53:30,0,0,1
274,2021-03-08 23:53:29,1,0,0
275,2021-03-08 23:53:28,0,0,1
276,2021-03-08 23:53:27,0,0,1
277,2021-03-08 23:53:17,0,1,0
278,2021-03-08 23:53:15,0,0,1
279,2021-03-08 23:53:13,0,0,1
280,2021-03-08 23:53:10,0,0,1
281,2021-03-08 23:53:08,0,0,1
282,2021-03-08 23:53:06,0,0,1
283,2021-03-08 23:53:06,1,0,0
284,2021-03-08 23:53:06,0,1,0
285,2021-03-08 23:53:05,0,0,1
286,2021-03-08 23:53:03,0,0,1
287,2021-03-08 23:53:01,0,0,1
288,2021-03-08 23:52:57,0,1,0
289,2021-03-08 23:52:56,0,1,0
290,2021-03-08 23:52:56,0,0,1
291,2021-03-08 23:52:52,0,0,1
292,2021-03-08 23:52:51,1,0,0
