,minuto,minuto_effettivo,testo,squadre,soggetti,eventi
0,0',0, Calcio d'inizio,0,0,inizio primo tempo
1,1',1, PSG che è partito determinato attuando un pressing alto per non far ragionare gli avversariLa finale ha inizio - Calcio d'avvio del PSG che attacca da sinistra verso destraSquadre in campo ,psg,0,pressing
2,2',2, Lancio sulla destra per Muller,bayern,muller,assist
3,2',2, Anche il Bayern pressa molto alto,bayern,0,pressing
4,3',3," Su punizione dalla trequarti sinistra di Kimmich, svetta Paredes e libera l'area","psg, bayern","paredes, kimmich",punizione
5,5',5, Buona chiusura in scivolata di Kehrer su Coman lanciato sulla sinistra,"psg, bayern","kehrer, coman","chiusura, scivolata"
6,6',6," Lancio al limite per Gnabry, chiuso da Mbappé in ripiegamento","psg, bayern","gnabry, mbappé","chiusura, assist"
7,6',6, Thiago prova il destro da 28 mt,0,thiago,tiro
8,8',8, Il Bayern ha preso campo ma per ora il PSG si difende bene,"psg, bayern",0,
9,8',8, Perfetta chiusura di Bernat su Kimmich lanciato sulla destra,"psg, bayern","kimmich, bernat",chiusura
10,9',9," Punizione per il PSG, non distante dal vertice sinistro dell'area",psg,0,"tiro, punizione"
11,10',10, Cross dalla destra di Kehrer deviato in tuffo di testa in angolo da Boateng,"psg, bayern","boateng, kehrer","deviazione, colpo di testa, cross, corner"
12,10',10, Di Maria calcia in mezzo dove Davies è attento e allontana di testa,"psg, bayern","davies, di maria","tiro, colpo di testa"
13,11',11, Sugli sviluppi dell'angolo da destra svetta Gnabry e libera l'area anticipando Silva,"psg, bayern","gnabry, silva",
14,12',12, Coman ruba palla sulla trequarti ma poi viene chiuso in extremis al limite da Silva che dà all'indietro a Navas,"psg, bayern","silva, navas, coman",chiusura
15,14',14, Mbappé di tacco smarca in area sulla sinistra Bernat che gli restituisce il pallone,psg,"mbappé, bernat",
16,15',15, Se ne è andato il primo quarto d'ora,0,0,
17,15',15, Lancio in area sulla sinistra per Mbappé che tenta il destro,psg,mbappé,"tiro, assist"
18,16',16," Lancio al limite per Muller, anticipato da Silva","psg, bayern","muller, silva",assist
19,17',17, Lancio sulla sinistra per Davies,bayern,davies,assist
20,18',18, Occasione PSG! Mbappé lancia in area Neymar il cui sinistro in girata è respinto d'istinto da Neuer!,"psg, bayern","neuer, mbappé, neymar","tiro, parata"
21,20',20, Lancio in area sulla destra per Kimmich,bayern,kimmich,assist
22,21',21," Cross basso dalla destra di Gnabry per Lewandowski, anticipato da Silva","psg, bayern","lewandowski, gnabry, silva",cross
23,22',22, Palo del Bayern!! Davies dalla trequarti sinistra centra per Lewandowski che controlla e calcia di destro in girata,bayern,"lewandowski, davies","palo, tiro"
24,23',23, Occasione PSG! Di Maria triangola al limite con Herrera e poi calcia,psg,"herrera, di maria",tiro
25,23',23, Cross dalla trequarti destra di Kimmich leggermente troppo lungo per Coman,bayern,"kimmich, coman",cross
26,24',24, Problemi per Boateng che si getta a terra,bayern,boateng,gioco fermo
27,25',25, Boateng deve uscire,bayern,boateng,sostituzione
28,28',28," Punizione per il PSG dal fondo destra, è una sorta di corner corto",psg,0,"corner, punizione"
29,28',28, Ammonito Davies per un fallo ai danni di Kehrer lanciato sulla destra,"psg, bayern","davies, kehrer","cartellino giallo, punizione"
30,29',29," Occasione PSG! Di Maria calcia la punizione in mezzo, Kimmich allontana di testa sui piedi di Herrera il cui destro da fuori, deviato col corpo da Goretzka, termina di poco a lato alla sinistra di Neuer!","psg, bayern","herrera, kimmich, neuer, di maria, goretzka","fuori, deviazione, tiro, colpo di testa, punizione"
31,30',30, Incredibile svista della terna arbitrale che non vede la deviazione di Goretzka e non concede l'angolo al PSG,"psg, bayern",goretzka,deviazione
32,31',31, Perfetta chiusura di Kehrer su Coman lanciato sulla sinistra,"psg, bayern","kehrer, coman",chiusura
33,31',31," Occasione Bayern! Su cross dalla trequarti destra di Muller va di testa in girata da pochi passi Lewandowski, conclusione ravvicinata ma centrale che Navas respinge d'istinto!","psg, bayern","navas, lewandowski, muller","tiro, colpo di testa, cross, parata"
34,33',33," Su cross dalla sinistra di Coman, Kimpembé va in tuffo di testa e allontana il pericolo",bayern,coman,"colpo di testa, cross"
35,34',34, Lancio in area per Gnabry,bayern,gnabry,assist
36,36',36, Cross dalla trequarti sinistra di Coman direttamente tra le braccia di Navas,"psg, bayern","navas, coman","cross, parata"
