"","Tick1","Tick2","pval"
"258","CTAS","CPRT.7",1e-04
"702","DRI.2","IT.18",1e-04
"1612","AVGO.20","MTD.3",1e-04
"1997","KMB.4","NOV.20",1e-04
"2064","BIO.34","ODFL.6",1e-04
"2588","ANSS.35","RMD.8",1e-04
"2907","INTU.12","STE.17",1e-04
"601","DHR.3","FAST.19",0.000120281913129411
"2541","NTRS.1","RJF.19",0.00028683531781734
"1346","FTNT.4","LLY.6",0.000543181439847616
"2902","COST.28","STE.12",0.000804521394295135
"192","ACN.11","CTAS.1",0.00103932520819276
"3448","STE.4","VRSK.30",0.00126602739567632
"2890","ABT.34","STE",0.00128495974627341
"1780","MPWR","MNST.48",0.0015353579675329
"154","AAPL.4","CTLT.1",0.00163578602024842
"3488","DXCM.11","VNO.25",0.00190549861771681
"3607","SHW.7","WMT.42",0.00201027560634622
"674","AJG.12","GRMN.4",0.00210147366712214
"3619","APD.48","WBA.5",0.00213870073309
"3724","SBAC.4","WBA.110",0.00224074608512501
"819","AMD.16","HOLX.2",0.00230510394417474
"2494","MCHP.6","DGX.14",0.00237511150315963
"3270","MAR.6","TFC.23",0.00240555887953294
"3700","MCO.14","WBA.86",0.0025415030185697
"3144","FAST.33","TMO.19",0.00257989448298576
"1842","FCX.1","NWSA.3",0.00269048809590758
"1655","FRC.5","MCHP.14",0.00271545946518174
"1963","MAR.1","NTRS.26",0.00274821000931681
"82","ADBE.10","BIO.1",0.00286497122200966
"86","ANSS.2","BIO.5",0.00287183474559785
"2351","LOW.7","POOL.19",0.00293775592891957
"2732","PKI.4","CRM.54",0.00294783635260062
"2901","CPRT.25","STE.11",0.0030286481282045
"3822","CZR.17","XYL.3",0.00303241155918352
"2345","FAST.23","POOL.13",0.00312779334087821
"3428","COST.32","VRSK.10",0.00313755165226039
"816","CBRE.1","HLT.3",0.00316135572346046
"89","ADSK.1","BIO.8",0.00325839330216563
"2578","NTRS.2","RF.8",0.0033564962421598
"3573","AJG.37","WMT.8",0.00339002948160213
"1848","FCX.2","NWS.4",0.00339156334067786
"1370","KR.3","L.9",0.00346699315555531
"824","AAPL.13","HOLX.7",0.00352580066331274
"3397","MS.4","URI.10",0.00358055033658801
"2951","POOL.5","SNPS.19",0.00358674386113845
"2436","KR.13","PRU.2",0.0036734050162364
"2762","LLY.6","SLB.15",0.00367462539438068
"1961","LVS.5","NTRS.24",0.00371284555235731
"905","CTAS.12","INFO.8",0.0037393874871852
"2909","MA.8","STE.19",0.00375578920198743
"1771","LRCX.6","MNST.39",0.00385786763076678
"435","APD.13","DG",0.00389958197932675
"704","EXC","IT.20",0.00394659583995192
"2509","HFC.2","RL.11",0.00399778704694392
"2595","COST.24","RMD.15",0.00400918410793916
"3837","LYV.10","YUM.7",0.00406238827941685
"3339","KR.18","USB.6",0.00406969083021216
"3743","VRSK.2","WBA.129",0.00408073283433145
"2805","ANSS.39","SHW.7",0.00416561781354114
"2617","NEE.4","RMD.37",0.00416924103882444
"1749","CTLT.18","MNST.17",0.00417288446402387
"1394","FAST.9","LOW.22",0.00422858591355859
"3702","MSCI.17","WBA.88",0.00423364460005166
"3730","STE.7","WBA.116",0.00427879282001915
"489","CAT.4","EMR.11",0.00428807674379943
"2908","KEYS.9","STE.18",0.00430339889684429
"1504","FB.9","MAS.8",0.00436142199986535
"1448","KR.4","MTB.4",0.00436976220805857
"906","CPRT.8","INFO.9",0.00442735815764502
"474","T","EIX.1",0.00445602243494799
"3151","LOW.14","TMO.26",0.00449950032629461
"132","BR.1","CZR.4",0.00452139832948818
"2476","GNRC.7","QCOM.2",0.00457635918931509
"769","CB.8","HAS.10",0.00458252806583946
"1454","HST.4","MPC.2",0.00460661536870891
"2715","LOW.10","CRM.37",0.00467031559575059
"677","CPRT.6","GRMN.7",0.00467892745492276
"2932","AMD.33","SNPS",0.00474330221756841
"849","GNRC","HOLX.32",0.00474707771377552
"3722","SPGI.5","WBA.108",0.00475922443599965
"3328","GILD.24","ULTA.3",0.00480594872377108
"235","BK.1","CMA",0.00490747542345439
"781","RE.2","HAS.22",0.00496218166796139
"3079","CTLT.28","TER.1",0.00496284005503808
