,ticker,company,sector
0,MMM,3M Company,Industrials
1,ABT,Abbott Laboratories,Health Care
2,ABBV,AbbVie Inc.,Health Care
3,ABMD,Abiomed,Health Care
4,ACN,Accenture,Information Technology
5,ATVI,Activision Blizzard,Communication Services
6,ADBE,Adobe Inc.,Information Technology
7,AMD,Advanced Micro Devices,Information Technology
8,AAP,Advance Auto Parts,Consumer Discretionary
9,AES,AES Corp,Utilities
10,AFL,Aflac,Financials
11,A,Agilent Technologies,Health Care
12,APD,Air Products & Chemicals,Materials
13,AKAM,Akamai Technologies,Information Technology
14,ALK,Alaska Air Group,Industrials
15,ALB,Albemarle Corporation,Materials
16,ARE,Alexandria Real Estate Equities,Real Estate
17,ALXN,Alexion Pharmaceuticals,Health Care
18,ALGN,Align Technology,Health Care
19,ALLE,Allegion,Industrials
20,LNT,Alliant Energy,Utilities
21,ALL,Allstate Corp,Financials
22,GOOGL,Alphabet Inc.,Communication Services
23,GOOG,Alphabet Inc.,Communication Services
24,MO,Altria Group Inc,Consumer Staples
25,AMZN,Amazon.com Inc.,Consumer Discretionary
26,AMCR,Amcor plc,Materials
27,AEE,Ameren Corp,Utilities
28,AAL,American Airlines Group,Industrials
29,AEP,American Electric Power,Utilities
30,AXP,American Express,Financials
31,AIG,American International Group,Financials
32,AMT,American Tower Corp.,Real Estate
33,AWK,American Water Works,Utilities
34,AMP,Ameriprise Financial,Financials
35,ABC,AmerisourceBergen,Health Care
36,AME,Ametek,Industrials
37,AMGN,Amgen Inc.,Health Care
38,APH,Amphenol Corp,Information Technology
39,ADI,"Analog Devices, Inc.",Information Technology
40,ANSS,"ANSYS, Inc.",Information Technology
41,ANTM,Anthem,Health Care
42,AON,Aon plc,Financials
43,AOS,A.O. Smith Corp,Industrials
44,APA,APA Corporation,Energy
45,AAPL,Apple Inc.,Information Technology
46,AMAT,Applied Materials Inc.,Information Technology
47,APTV,Aptiv PLC,Consumer Discretionary
48,ADM,Archer-Daniels-Midland Co,Consumer Staples
49,ANET,Arista Networks,Information Technology
50,AJG,Arthur J. Gallagher & Co.,Financials
51,AIZ,Assurant,Financials
52,T,AT&T Inc.,Communication Services
53,ATO,Atmos Energy,Utilities
54,ADSK,Autodesk Inc.,Information Technology
55,ADP,Automatic Data Processing,Information Technology
56,AZO,AutoZone Inc,Consumer Discretionary
57,AVB,AvalonBay Communities,Real Estate
58,AVY,Avery Dennison Corp,Materials
59,BKR,Baker Hughes Co,Energy
60,BLL,Ball Corp,Materials
61,BAC,Bank of America Corp,Financials
62,BK,The Bank of New York Mellon,Financials
63,BAX,Baxter International Inc.,Health Care
64,BDX,Becton Dickinson,Health Care
65,BRK.B,Berkshire Hathaway,Financials
66,BBY,Best Buy Co. Inc.,Consumer Discretionary
67,BIO,Bio-Rad Laboratories,Health Care
68,BIIB,Biogen Inc.,Health Care
69,BLK,BlackRock,Financials
70,BA,Boeing Company,Industrials
71,BKNG,Booking Holdings Inc,Consumer Discretionary
72,BWA,BorgWarner,Consumer Discretionary
73,BXP,Boston Properties,Real Estate
74,BSX,Boston Scientific,Health Care
75,BMY,Bristol-Myers Squibb,Health Care
76,AVGO,Broadcom Inc.,Information Technology
77,BR,Broadridge Financial Solutions,Information Technology
78,BF.B,Brown-Forman Corp.,Consumer Staples
79,CHRW,C. H. Robinson Worldwide,Industrials
80,COG,Cabot Oil & Gas,Energy
81,CDNS,Cadence Design Systems,Information Technology
82,CZR,Caesars Entertainment,Consumer Discretionary
83,CPB,Campbell Soup,Consumer Staples
84,COF,Capital One Financial,Financials
85,CAH,Cardinal Health Inc.,Health Care
86,KMX,Carmax Inc,Consumer Discretionary
87,CCL,Carnival Corp.,Consumer Discretionary
88,CARR,Carrier Global,Industrials
89,CTLT,Catalent,Health Care
90,CAT,Caterpillar Inc.,Industrials
91,CBOE,Cboe Global Markets,Financials
92,CBRE,CBRE Group,Real Estate
