DATA;Ora;VALORE
2018-09-01;1;3646742
2018-09-01;2;3273110
2018-09-01;3;3069245
2018-09-01;4;2969621
2018-09-01;5;2944116
2018-09-01;6;3022310
2018-09-01;7;3121279
2018-09-01;8;3638322
2018-09-01;9;4199538
2018-09-01;10;4576271
2018-09-01;11;4596492
2018-09-01;12;4585998
2018-09-01;13;4416799
2018-09-01;14;4161943
2018-09-01;15;4120360
2018-09-01;16;4148513
2018-09-01;17;4232441
2018-09-01;18;4487133
2018-09-01;19;4979657
2018-09-01;20;5525592
2018-09-01;21;5530755
2018-09-01;22;5144431
2018-09-01;23;4632106
2018-09-01;24;4066985
2018-09-02;1;3520331
2018-09-02;2;3144834
2018-09-02;3;2928646
2018-09-02;4;2821206
2018-09-02;5;2776825
2018-09-02;6;2817111
2018-09-02;7;2812343
2018-09-02;8;3191634
2018-09-02;9;3552838
2018-09-02;10;3910139
2018-09-02;11;4051747
2018-09-02;12;4130196
2018-09-02;13;3985959
2018-09-02;14;3678684
2018-09-02;15;3690842
2018-09-02;16;3681279
2018-09-02;17;3756857
2018-09-02;18;4025933
2018-09-02;19;4535524
2018-09-02;20;5211713
2018-09-02;21;5423217
2018-09-02;22;5095115
2018-09-02;23;4547610
2018-09-02;24;3886121
2018-09-03;1;3296641
2018-09-03;2;2951358
2018-09-03;3;2795662
2018-09-03;4;2733532
2018-09-03;5;2735086
2018-09-03;6;2863786
2018-09-03;7;3141181
2018-09-03;8;3904598
2018-09-03;9;4656167
2018-09-03;10;4724654
2018-09-03;11;4521691
2018-09-03;12;4446529
2018-09-03;13;4160002
2018-09-03;14;4081998
2018-09-03;15;4301312
2018-09-03;16;4486451
2018-09-03;17;4792504
2018-09-03;18;5027349
2018-09-03;19;5362586
2018-09-03;20;5639485
2018-09-03;21;5859349
2018-09-03;22;5501791
2018-09-03;23;4771535
2018-09-03;24;3994655
2018-09-04;1;3377929
2018-09-04;2;3025483
2018-09-04;3;2859206
2018-09-04;4;2790349
2018-09-04;5;2779017
2018-09-04;6;2925821
2018-09-04;7;3219362
2018-09-04;8;3977335
2018-09-04;9;4686379
2018-09-04;10;4720542
2018-09-04;11;4533023
2018-09-04;12;4437035
2018-09-04;13;4094122
2018-09-04;14;3972202
2018-09-04;15;4166188
2018-09-04;16;4362402
2018-09-04;17;4678376
2018-09-04;18;4957412
2018-09-04;19;5381756
2018-09-04;20;5705368
2018-09-04;21;5992259
2018-09-04;22;5610053
2018-09-04;23;4873915
2018-09-04;24;4099157
2018-09-05;1;3465419
2018-09-05;2;3098506
2018-09-05;3;2923988
2018-09-05;4;2851615
2018-09-05;5;2852462
2018-09-05;6;2985348
2018-09-05;7;3275391
2018-09-05;8;4038221
2018-09-05;9;4752597
2018-09-05;10;4796716
2018-09-05;11;4652491
2018-09-05;12;4573801
2018-09-05;13;4233266
2018-09-05;14;4131448
2018-09-05;15;4334636
2018-09-05;16;4524309
2018-09-05;17;4821202
2018-09-05;18;5111884
2018-09-05;19;5534604
2018-09-05;20;5875246
2018-09-05;21;6117041
2018-09-05;22;5698289
2018-09-05;23;4951579
2018-09-05;24;4179348
2018-09-06;1;3540503
2018-09-06;2;3167126
2018-09-06;3;2984910
2018-09-06;4;2908857
2018-09-06;5;2903838
2018-09-06;6;3043153
2018-09-06;7;3359312
2018-09-06;8;4116739
2018-09-06;9;4869287
2018-09-06;10;4965282
2018-09-06;11;4818917
2018-09-06;12;4762558
2018-09-06;13;4460194
2018-09-06;14;4387746
2018-09-06;15;4653738
2018-09-06;16;4915437
2018-09-06;17;5257121
2018-09-06;18;5553645
2018-09-06;19;5881812
2018-09-06;20;6164672
2018-09-06;21;6153982
2018-09-06;22;5649863
2018-09-06;23;4929264
2018-09-06;24;4158750
2018-09-07;1;3521828
2018-09-07;2;3163532
2018-09-07;3;2991499
2018-09-07;4;2917204
2018-09-07;5;2904946
2018-09-07;6;3033568
2018-09-07;7;3401341
2018-09-07;8;4236145
2018-09-07;9;5095315
2018-09-07;10;5316059
2018-09-07;11;5272648
2018-09-07;12;5147576
2018-09-07;13;4725052
2018-09-07;14;4498725
2018-09-07;15;4638693
2018-09-07;16;4764274
2018-09-07;17;4970001
2018-09-07;18;5207252
2018-09-07;19;5603087
2018-09-07;20;5933128
2018-09-07;21;6055136
2018-09-07;22;5596175
2018-09-07;23;4946157
2018-09-07;24;4232630
2018-09-08;1;3611179
2018-09-08;2;3226114
2018-09-08;3;3013657
2018-09-08;4;2906991
2018-09-08;5;2880818
2018-09-08;6;2973435
2018-09-08;7;3134380
2018-09-08;8;3664781
2018-09-08;9;4170289
2018-09-08;10;4385030
2018-09-08;11;4221491
2018-09-08;12;4107383
2018-09-08;13;3953585
2018-09-08;14;3749362
2018-09-08;15;3772780
2018-09-08;16;3842661
2018-09-08;17;4086642
2018-09-08;18;4463606
2018-09-08;19;5015319
2018-09-08;20;5668002
2018-09-08;21;5754242
2018-09-08;22;5271987
2018-09-08;23;4752399
2018-09-08;24;4187590
2018-09-09;1;3636081
2018-09-09;2;3245217
2018-09-09;3;3010859
2018-09-09;4;2888260
2018-09-09;5;2835939
2018-09-09;6;2872974
2018-09-09;7;2917177
2018-09-09;8;3235213
2018-09-09;9;3527005
2018-09-09;10;3743765
2018-09-09;11;3741340
2018-09-09;12;3751118
2018-09-09;13;3644778
2018-09-09;14;3375297
2018-09-09;15;3382409
2018-09-09;16;3402628
2018-09-09;17;3596798
2018-09-09;18;4014653
2018-09-09;19;4622641
2018-09-09;20;5434426
2018-09-09;21;5709834
2018-09-09;22;5333727
2018-09-09;23;4764458
2018-09-09;24;4086610
2018-09-10;1;3478921
2018-09-10;2;3119197
2018-09-10;3;2952257
2018-09-10;4;2879874
2018-09-10;5;2871953
2018-09-10;6;3011791
2018-09-10;7;3392961
2018-09-10;8;4171307
2018-09-10;9;4872482
2018-09-10;10;4918293
2018-09-10;11;4764631
2018-09-10;12;4706973
2018-09-10;13;4408217
2018-09-10;14;4341928
2018-09-10;15;4580156
2018-09-10;16;4807158
2018-09-10;17;5113855
2018-09-10;18;5378875
2018-09-10;19;5731913
2018-09-10;20;6189078
2018-09-10;21;6366235
2018-09-10;22;5891225
2018-09-10;23;5133340
2018-09-10;24;4286738
2018-09-11;1;3625666
2018-09-11;2;3268364
2018-09-11;3;3091589
2018-09-11;4;3009844
2018-09-11;5;2991962
2018-09-11;6;3127864
2018-09-11;7;3514491
2018-09-11;8;4278483
2018-09-11;9;5023201
2018-09-11;10;5102709
2018-09-11;11;4996862
2018-09-11;12;4967252
2018-09-11;13;4643353
2018-09-11;14;4551653
2018-09-11;15;4814549
2018-09-11;16;5071673
2018-09-11;17;5400788
2018-09-11;18;5665684
2018-09-11;19;6015409
2018-09-11;20;6318628
2018-09-11;21;6505059
2018-09-11;22;6105969
2018-09-11;23;5292974
2018-09-11;24;4426924
2018-09-12;1;3752599
2018-09-12;2;3362936
2018-09-12;3;3173068
2018-09-12;4;3090331
2018-09-12;5;3070143
2018-09-12;6;3200566
2018-09-12;7;3634214
2018-09-12;8;4422745
2018-09-12;9;5087738
2018-09-12;10;5159793
2018-09-12;11;5043270
2018-09-12;12;5030921
2018-09-12;13;4716428
2018-09-12;14;4646077
2018-09-12;15;4954325
2018-09-12;16;5247796
2018-09-12;17;5598371
2018-09-12;18;5875081
2018-09-12;19;6208994
2018-09-12;20;6575001
2018-09-12;21;6609357
2018-09-12;22;6179447
2018-09-12;23;5364279
2018-09-12;24;4499742
2018-09-13;1;3814067
2018-09-13;2;3428815
2018-09-13;3;3239149
2018-09-13;4;3151957
2018-09-13;5;3121212
2018-09-13;6;3256673
2018-09-13;7;3714349
2018-09-13;8;4543360
2018-09-13;9;5275542
2018-09-13;10;5434914
2018-09-13;11;5344201
2018-09-13;12;5327979
2018-09-13;13;5009109
2018-09-13;14;4924882
2018-09-13;15;5193599
2018-09-13;16;5425823
2018-09-13;17;5684415
2018-09-13;18;5875487
2018-09-13;19;6204561
2018-09-13;20;6587781
2018-09-13;21;6514927
2018-09-13;22;6066817
2018-09-13;23;5269753
2018-09-13;24;4440176
2018-09-14;1;3768842
2018-09-14;2;3383903
2018-09-14;3;3185281
2018-09-14;4;3100186
2018-09-14;5;3081690
2018-09-14;6;3212100
2018-09-14;7;3664600
2018-09-14;8;4460256
2018-09-14;9;5159951
2018-09-14;10;5276156
2018-09-14;11;5156605
2018-09-14;12;5094302
2018-09-14;13;4769309
2018-09-14;14;4702607
2018-09-14;15;4972128
2018-09-14;16;5228310
2018-09-14;17;5560965
2018-09-14;18;5822029
2018-09-14;19;6172521
2018-09-14;20;6549685
2018-09-14;21;6485656
2018-09-14;22;6016407
2018-09-14;23;5319453
2018-09-14;24;4575444
